599619026428824704,11
599619026436516992,9
599619026444209280,11
599619026451901568,21
599619026459593984,18
599619026467286272,11
599619026474978560,16
599619026482670848,21
599619026490363136,21
599619026498055424,21
599619026505747840,25
599619026513440128,21
599619026521132416,14
599619026528824704,18
599619026536516992,23
599619026544209280,21
599619026551901568,25
599619026559593984,30
599619026567286272,23
599619026574978560,16
599619026582670848,14
599619026590363136,11
599619026598055424,11
599619026605747840,35
599619026613440128,58
599619026621132416,58
599619026628824704,51
599619026636516992,46
599619026644209280,32
599619026651901568,21
599619026659593984,23
599619026667286272,28
599619026674978560,25
599619026682670848,25
599619026690363136,25
599619026698055424,28
599619026705747840,28
599619026713440128,4
599619026721132416,-79
599619026728824704,-138
599619026736516992,25
599619026744209280,411
599619026751901568,659
599619026759593984,383
599619026767286272,-140
599619026774978560,-250
599619026782670848,-65
599619026790363136,-9
599619026798055424,28
599619026805747840,84
599619026813440128,53
599619026821132416,30
599619026828824704,58
599619026836516992,63
599619026844209280,49
599619026851901568,53
599619026859593984,65
599619026867286272,67
599619026874978560,70
599619026882670848,77
599619026890363136,79
599619026898055424,84
599619026905747840,91
599619026913440128,95
599619026921132416,100
599619026928824704,112
599619026936516992,119
599619026944209280,121
599619026951901568,131
599619026959593984,142
599619026967286272,142
599619026974978560,147
599619026982670846,154
599619026990357504,147
599619026998044160,140
599619027005730816,138
599619027013417344,116
599619027021104000,84
599619027028790656,53
599619027036477312,25
599619027044163968,7
599619027051850624,-7
599619027059537152,-18
599619027067223808,-28
599619027074910464,-32
599619027082597120,-30
599619027090283776,-32
599619027097970432,-30
599619027105656960,-23
599619027113343616,-21
599619027121030272,-23
599619027128716928,-18
599619027136403584,-14
599619027144090240,-11
599619027151776768,-7
599619027159463424,-4
599619027167150080,-7
599619027174836736,0
599619027182523392,2
599619027190210048,-2
599619027197896576,4
599619027205583232,14
599619027213269888,7
599619027220956544,2
599619027228643200,7
599619027236329856,7
599619027244016384,7
599619027251703040,9
599619027259389696,11
599619027267076352,7
599619027274763008,4
599619027282449664,9
599619027290136192,11
599619027297822848,9
599619027305509504,9
599619027313196160,11
599619027320882816,11
599619027328569344,9
599619027336256000,7
599619027343942656,9
599619027351629312,9
599619027359315968,7
599619027367002624,-2
599619027374689152,-4
599619027382375808,14
599619027390062464,39
599619027397749120,42
599619027405435776,42
599619027413122432,39
599619027420808960,25
599619027428495616,11
599619027436182272,14
599619027443868928,21
599619027451555584,18
599619027459242240,14
599619027466928768,16
599619027474615424,18
